EntryNumber,AdID,FileName,StartDate,Time,Zone,EndDate,Impressions,Clicks,Spent,AdText,ImageText,HashTags,AdLandingPage,CustomIncludes,Junk,AT_Placements,AT_Age,AT_Location_Country,AT_Location_State,AT_Location_City,AT_Language,AT_Loose,AT_Gender,AT_PM_All,AT_PM_Behaviors,AT_PM_FieldOfStudy,AT_PM_Politics,AT_PM_Interests,AT_PM_FriendsOfConnections,AT_PM_MulticulturalAffinity,AT_PM_PeopleWhoLike,AT_PM_Industry,AT_PM_Employers,AT_AM_All,AT_AM_Interests,AT_AM_Politics,AT_AM_Behaviors,AT_AM_MulticulturalAffinity,AT_AM_Industry,AT_AM_Employers,AT_EC_All,AT_EC_ExcludePeopleWhoLike,AT_EC_ExcludePeopleWhoAreGoingTo,AT_EX_All,AT_EX_MulticulturalAffinity,AT_EX_Behaviors,avgWordLength,EntryNumber:1,BlackCulture,BCVal,BlueLives,BLVal,Christian,ChristianVal,Clinton,ClintonVal,LatinX,LatinXVal,Immigration,ImmigrationVal,Constitution,ConstitutionVal,WhiteSupremacy,WSVal,LGBTQ,LGBTQVal,LiberalFeminism,LFVal,Media,MediaVal,Muslim,MuslimVal,NativeAmerican,NAVal,Patriot,PatriotVal,RedPill,RPVal,Refugees,RefugeesVal,Sanders,SandersVal,SecondAmendment,SAVal,Seperatist,SeperatistVal,SouthernCulture,SCVal,Syria,SyriaVal,Texas,TexasVal,Trump,TrumpVal,Veterans,VeteransVal,otherCandidates,OCVal,voterFraud,VFVal,voterMisdirection,VMVal,voterTurnoutSuppression,VTSVal
1,5,P(1)0000001.txt,2016/06/15,06:39:52 AM,EDT,,29786,201,3714.15,WHERE is your VOICE?,,,https://www.facebook.com/GovSpending-1651761351759857/,,,InstagramFeed,18 _ 65+,United States,Georgia,,,,,Interests: Understanding racial segregation in the united states. American Black Film Festival. Cop Block or HuffPost Black Voices. Behaviors: African American (US). Field of study: African-American history. Politics: Likely to engage with political content (liberal),African American (US).,African-American history.,Likely to engage with political content (liberal),Understanding racial segregation in the united states; American Black Film Festival; Cop Block ; HuffPost Black Voices;,,,,,,,,,,,,,,,,,,,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,P(1)0000002.txt,2016/08/17,07:17:52 AM,EDT,,44111,625,4893.72,It's time for us to understand that we do deserve all best. It's time for our people to stand up and use all the opportunities of this life. Follow black pride us. if you agree!,,,https://www.facebook.com/Bat-240131319678646/,,,InstagramFeed,18 _ 65+,United States,,,English (US),,,Interests: Martin Luther King. Jr.. Black Power. Black Arts Movement. Fight the Power. Black Panther Party. Afrocentrism. My Black is Beautiful. Black is beautiful. Malcolm X or HuffPost Black Voices,,,,Martin Luther King; Jr.; Black Power; Black Arts Movement; Fight the Power; Black Panther Party; Afrocentrism; My Black is Beautiful; Black is beautiful; Malcolm X ; HuffPost Black Voices,,,,,,,,,,,,,,,,,,,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,P(1)0000005.txt,2016/04/20,03:07:11 AM,EDT,,77759,9,6618.25,TAG YOUR PHOTOS WITH #TXagainst Send us the reason why don't you want illegals in Texas. Comments. photos. and videos are welcomed!, rebettexas Sponsored CLEAR Liam %fore rD a IV                                          Q rebeRexas TAG YOUR PHOTOS WITH 4TX~cni1sr Send 1 us the reason why don't you want illegals in Texas. Comments. photos. and videos are welcomed!,#txagainst,https://www.facebook.com/GovSpending-1651761351759857/,,,InstagramFeed,18 _ 65+,United States,,,English (US),,,United States Interests: Independence or Patriotism,,,,Independence ; Patriotism,,,,,,,,,,,,,,,,,,,0,4,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5,25,P(1)0000007.txt,2015/11/09,08:01:08 AM,EST,,3970,35,1401.8,Homeland of brave. Support our veterans! Join us! Veterans USA GovSpending, III-.- taq.Lam. american.veterans                           ... SponsoreJ Learn lvic. . 0                                                   W american.veterans Homeland of brave. Support our veterans! Join use,,https://instagram.com/veterans_us/,,,InstagramFeed,18 _ 65+,United States,,,English (US),,,United States Interests: Veterans,,,,Veterans,,,,,,,,,,,,,,,,,,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
6,29,P(1)0000009.txt,2015/11/12,07:38:35 AM,EST,,3527,33,1506.21,What do you know about PTSD? Do you know that US Military deaths since 1999 count 6.904. while veterans suicides since 1999 account for 128.480? We'are losing 18 times more warriors in civilian life than on the battlefields! Learn more! Follow us! Veterans USA( @veterans GovSpending, InUaTam. 0       american.voterans Sponsored Learn More CO    a      V                                 Q american.veterans What do you know about PTSD? Do you know that US Military deaths since 1999 count 6.904. while veterans suicides since 1999 ... more,,https:Hinstagram.com/veterans_us/,,,InstagramFeed,18 _ 65+,United States,,,English (US),,,United States Interests: Patient Protection and Affordable Care Act or Supporting Our Veterans,,,,Patient Protection and Aff;dable Care Act ; Supp;ting Our Veterans,,,,,,,,,,,,,,,,,,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
7,30,P(1)0000011.txt,2015/11/19,08:20:22 AM,EST,2015/11/21_13:28:00_EST,0,0,0,Click learn more! People don't want to look at the homeless. But maybe they will look at. or think about. or support dealing with homelessness once they know that 12% of the homeless adult population are veterans. Join us! Veterans USA( @veterans GovSpending, american.veterans Sponsored VETERAN LIVES MATTER Veterans *US* Learn More 0a            IV                                      Q american.veterans Click learn more! People don't want to look at the homeless- But maybe they will look at. or think about. or support dealing with .. r .nr^,,https:Hinstagram.com/veterans_us/,,,InstagramFeed,18 _ 65+,United States,,,English (US),,,United States Interests: Independence or Patriotism,,,,Independence ; Patriotism,,,,,,,,,,,,,,,,,,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
11,42,P(1)0000019.txt,2016/06/15,07:02:09 AM,EDT,,22608,266,6015.85,If we ever forget that we are One Nation Under God. then we will be a nation gone under. Ronald Reagan,,,https://www.facebook.com/Bat-240131319678646/,,,InstagramFeed,18 _ 65+,United States,Ohio; Tennessee; Virginia,,,,,Politics: US politics (conservative). US politics (very conservative) or Likely to engage with political content (conservative),,,US politics (conservative). US politics (very conservative) or Likely to engage with political content (conservative),,,,,,,,,,,,,,,,,,,,0,11,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,50,P(1)0000022.txt,2016/06/21,10:09:02 AM,EDT,,92618,6555,13458.49,"Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A. County probation officers brutalize teen in detention center. Fox News Hosts Believe Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts declare that the shooting was motivated by religious hatred towards Christians. but not racism. Brutal Alabama Cop Fatally Shoots Black Teen Holding Cellphone A mobile police officer fatally shot a 19-year-old black teen. Michael Moore. during a traffic stop Monday. June 13 in Toulminville. Alabama. Black Matters", Black Matters shared a link.                             ii Like Page Sponsored - 0 4 Cops 4n i Teen: Brutality                               Fox News Hosts Believe Against Juveniles                           Learn Morr>   Charleston Shooting Wasn't H; L. A. County pronatia... o`ticers bru...                 Fox & Friends hosts declare thi 212 Reactions 26 Comments 117 Shares Ilk Like       * Comment              A Share,,https:Hblackmattersus.com/,: Lookalike(US. 1 %)- newtestaudit Audience Name,,NewsFeed_desktopcomputers.Third-partyApps_Websites_mobiledevices; NewsFeed_mobiledevices,18 _ 65+,United States,,,English (UK);  English (US),Custom Audience: Lookalike(US. 1%)- newtestaudit,,,,,,,,,,,,,,,,,,,,,,,,,0,13,2,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,51,P(1)0000024.txt,2016/07/06,10:18:32 AM,EDT,,12653,393,1168.31,"Get breaking news and analysis on the life of African American community in the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A. County probation officers brutalize teen in detention center. Fox News Hosts Believe Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts declare that the shooting was motivated by religious hatred towards Christians. but not racism. Brutal Alabama Cop Fatally Shoots Black Teen Holding Cellphone A mobile police officer fatally shot a 19-year-old black teen. Michael Moore. during a traffic stop Monday. June 13 in Toulminville. Alabama. Black Matters", Black Matters shared a link.                              ii Like Page Sponsored - 0 4 Cops 4n i Teen: Brutality                                 Fox News Hosts Believe Against Juveniles                           i Learn Morr>   Charleston Shooting Wasn't H; L. A. Counly prooatia... o`ticers bru...                   Fox & Friends hosts declare thi 19 Reactions 1 Comment 11 Shares 1111 Like       * Comment             A Share,,https://blackmattersus.com/?utm_source=facebook&utm_medium=cpc&utm_ campaign=paid,: Lookalike(US. 1 %)- newtestaudit Audience Name,,NewsFeed_desktopcomputers.Third-partyApps_Websites_mobiledevices; NewsFeed_mobiledevices,18 _ 65+,United States,,,English (UK);  English (US),Custom Audience: Lookalike(US. 1%)- newtestaudit,,,,,,,,,,,,,,,,,,,,,,,,,0,14,4,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,63,P(1)0000026.txt,2016/06/21,10:08:44 AM,EDT,,0,0,0,"Get breaking news and analysis on the life of African American community in the US. Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A. County probation officers brutalize teen in detention center. Fox News Hosts Believe Charleston Shooting Wasn't Hate Crime ""Fox & Friends"" hosts declare that the shooting was motivated by religious hatred towards Christians. but not racism. Brutal Alabama Cop Fatally Shoots Black Teen Holding Cellphone A mobile police officer fatally shot a 19-year-old black teen. Michael Moore. during a traffic stop Monday. June 13 in Toulminville. Alabama. Black Matters", Black Matters shared a link.                            wk   Like Page Sponsored - 0 4 Cops 4n i Teen: Brutality                              Fox News Hosts Believe Against Juveniles                           Leam Morr>   Charleston Shooting Wasn't H; L. A. Counly pronatia... o`ticers bru...                Fox & Friends hosts declare thi jdI Like       * Comment              A Share,,https://blackmattersus.com/,: Lookalike(US. 1 %)- newtestaudit Audience Name,,NewsFeed_desktopcomputers.Third-partyApps_Websites_mobiledevices; NewsFeed_mobiledevices,18 _ 65+,United States,,,English (UK);  English (US),Custom Audience: Lookalike(US. 1%)- newtestaudit,,,,,,,,,,,,,,,,,,,,,,,,,0,15,4,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
